146,Ardenna carneipes,淡足鹱,Flesh-footed Shearwater,NT,-,
147,Bulweria bulwerii,褐燕鹱,Bulwer's Petrel,LC,-,
8,PODICIPEDIFORMES,䴙䴘科,Podicipedidae (2:5),,,
148,Tachybaptus ruficollis,小䴙䴘,Little Grebe,LC,-,
149,Podiceps grisegena,赤颈䴙䴘,Red-necked Grebe,LC,二级,
150,Podiceps cristatus,凤头䴙䴘,Great Crested Grebe,LC,-,
151,Podiceps auritus,角䴙䴘,Horned Grebe,VU,二级,
152,Podiceps nigricollis,黑颈䴙䴘,Black-necked Grebe,LC,二级,
9,PHOENICOPTERIFORMES,红鹳科,Phoenicopteridae (1:1),,,
153,Phoenicopterus roseus,大红鹳,Greater Flamingo,LC,-,
10,PHAETHONTIFORMES,鹲科,Phaethontidae (1:3),,,
154,Phaethon aethereus,红嘴鹲,Red-billed Tropicbird,LC,-,
155,Phaethon rubricauda,红尾鹲,Red-tailed Tropicbird,LC,-,
156,Phaethon lepturus,白尾鹲,White-tailed Tropicbird,LC,-,
11,CICONIIFORMES,鹳科,Ciconiidae (4:7),,,
157,Mycteria leucocephala,彩鹳,Painted Stork,NT,一级,
158,Anastomus oscitans,钳嘴鹳,Asian Openbill,LC,-,
159,Ciconia nigra,黑鹳,Black Stork,LC,一级,
160,Ciconia episcopus,白颈鹳,Asian Woollyneck,NT,-,
161,Ciconia ciconia,白鹳,White Stork,LC,一级,
162,Ciconia boyciana,东方白鹳,Oriental Stork,EN,一级,
163,Leptoptilos javanicus,秃鹳,Lesser Adjutant,VU,二级,
12,PELECANIFORMES,鹮科,Threskiornithidae (5:6),,,
164,Threskiornis melanocephalus,黑头白鹮,Black-headed Ibis,NT,一级,
165,Pseudibis davisoni,白肩黑鹮,White-shouldered Ibis,CR,一级,
166,Nipponia nippon,朱鹮,Crested Ibis,EN,一级,
167,Plegadis falcinellus,彩鹮,Glossy Ibis,LC,一级,
168,Platalea leucorodia,白琵鹭,Eurasian Spoonbill,LC,二级,
169,Platalea minor,黑脸琵鹭,Black-faced Spoonbill,EN,一级,
13,PELECANIFORMES,鹭科,Ardeidae (9:26),,,
170,Botaurus stellaris,大麻鳽,Great Bittern,LC,-,
171,Ixobrychus minutus,小苇鳽,Little Bittern,LC,二级,
172,Ixobrychus sinensis,黄苇鳽,Yellow Bittern,LC,-,
173,Ixobrychus eurhythmus,紫背苇鳽,Von Schrenck's Bittern,LC,-,
174,Ixobrychus cinnamomeus,栗苇鳽,Cinnamon Bittern,LC,-,
175,Ixobrychus flavicollis,黑鳽,Black Bittern,LC,-,
176,Gorsachius magnificus,海南鳽,White-eared Night Heron,EN,一级,
177,Gorsachius goisagi,栗鳽,Japanese Night Heron,VU,二级,
178,Gorsachius melanolophus,黑冠鳽,Malayan Night Heron,LC,二级,
179,Nycticorax nycticorax,夜鹭,Black-crowned Night Heron,LC,-,
180,Nycticorax caledonicus,棕夜鹭,Nankeen Night Heron,LC,-,
181,Butorides striata,绿鹭,Striated Heron,LC,-,
182,Ardeola grayii,印度池鹭,Indian Pond Heron,LC,-,
183,Ardeola bacchus,池鹭,Chinese Pond Heron,LC,-,
184,Ardeola speciosa,爪哇池鹭,Javan Pond Heron,LC,-,
185,Bubulcus coromandus,牛背鹭,Eastern Cattle Egret,NR,-,
186,Ardea cinerea,苍鹭,Grey Heron,LC,-,
187,Ardea insignis,白腹鹭,White-bellied Heron,CR,一级,
188,Ardea purpurea,草鹭,Purple Heron,LC,-,
189,Ardea alba,大白鹭,Great Egret,LC,-,
190,Ardea intermedia,中白鹭,Intermediate Egret,LC,-,
191,Egretta picata,斑鹭,Pied Heron,LC,-,
192,Egretta novaehollandiae,白脸鹭,White-faced Heron,LC,-,
193,Egretta garzetta,白鹭,Little Egret,LC,-,
194,Egretta sacra,岩鹭,Pacific Reef Heron,LC,二级,
195,Egretta eulophotes,黄嘴白鹭,Chinese Egret,VU,一级,
14,PELECANIFORMES,鹈鹕科,Pelecanidae (1:3),,,
196,Pelecanus onocrotalus,白鹈鹕,Great White Pelican,LC,一级,
197,Pelecanus philippensis,斑嘴鹈鹕,Spot-billed Pelican,NT,一级,
198,Pelecanus crispus,卷羽鹈鹕,Dalmatian Pelican,NT,一级,
15,SULIFORMES,军舰鸟科,Fregatidae (1:3),,,
199,Fregata andrewsi,白腹军舰鸟,Christmas Island Frigatebird,VU,一级,IUCN红色名录等级由CR降为VU
200,Fregata minor,黑腹军舰鸟,Great Frigatebird,LC,二级,中文名由大军舰鸟改为黑腹军舰鸟
201,Fregata ariel,白斑军舰鸟,Lesser Frigatebird,LC,二级,
16,SULIFORMES,鲣鸟科,Sulidae (1:3),,,
202,Sula dactylatra,蓝脸鲣鸟,Masked Booby,LC,二级,
203,Sula sula,红脚鲣鸟,Red-footed Booby,LC,二级,
204,Sula leucogaster,褐鲣鸟,Brown Booby,LC,二级,
17,SULIFORMES,蛇鹈科,Anhingidae (1:1),,,
205,Anhinga melanogaster,黑腹蛇鹈,Oriental Darter,NT,-,
18,SULIFORMES,鸬鹚科,Phalacrocoracidae (3:6),,,
206,Microcarbo pygmaeus,侏鸬鹚,Pygmy Cormorant,LC,-,
207,Microcarbo niger,黑颈鸬鹚,Little Cormorant,LC,二级,
208,Urile urile,红脸鸬鹚,Red-faced Cormorant,LC,-,
209,Urile pelagicus,海鸬鹚,Pelagic Cormorant,LC,二级,
210,Phalacrocorax capillatus,暗绿背鸬鹚,Japanese Cormorant,LC,-,
211,Phalacrocorax carbo,普通鸬鹚,Great Cormorant,LC,-,
19,ACCIPITRIFORMES,鹗科,Pandionidae (1:1),,,
212,Pandion haliaetus,鹗,Osprey,LC,二级,"英文名由Western Osprey改为Osprey（Monti et al. 2015; Monti et. al. 2018; HBW/BirdLife, Clements）"
20,ACCIPITRIFORMES,鹰科,Accipitridae (23:54),,,
213,Elanus caeruleus,黑翅鸢,Black-winged Kite,LC,二级,
214,Gypaetus barbatus,胡兀鹫,Lammergeier,NT,一级,
215,Neophron percnopterus,白兀鹫,Egyptian Vulture,EN,二级,
216,Pernis apivorus,鹃头蜂鹰,European Honey Buzzard,LC,二级,
217,Pernis ptilorhynchus,凤头蜂鹰,Crested Honey-buzzard,LC,二级,
218,Aviceda jerdoni,褐冠鹃隼,Jerdon's Baza,LC,二级,
219,Aviceda leuphotes,黑冠鹃隼,Black Baza,LC,二级,
220,Gyps bengalensis,白背兀鹫,White-rumped Vulture,CR,一级,
221,Gyps tenuirostris,细嘴兀鹫,Slender-billed Vulture,CR,-,
222,Gyps himalayensis,高山兀鹫,Himalayan Vulture,NT,二级,
223,Gyps fulvus,兀鹫,Griffon Vulture,LC,二级,
224,Sarcogyps calvus,黑兀鹫,Red-headed Vulture,CR,一级,
225,Aegypius monachus,秃鹫,Cinereous Vulture,NT,一级,
226,Spilornis cheela,蛇雕,Crested Serpent Eagle,LC,二级,
227,Circaetus gallicus,短趾雕,Short-toed Snake Eagle,LC,二级,
228,Nisaetus cirrhatus,凤头鹰雕,Changeable Hawk-Eagle,LC,二级,
229,Nisaetus nipalensis,鹰雕,Mountain Hawk-Eagle,NT,二级,
230,Lophotriorchis kienerii,棕腹隼雕,Rufous-bellied Eagle,NT,二级,
231,Ictinaetus malaiensis,林雕,Black Eagle,LC,二级,
232,Clanga clanga,乌雕,Greater Spotted Eagle,VU,一级,
233,Hieraaetus pennatus,靴隼雕,Booted Eagle,LC,二级,
234,Aquila nipalensis,草原雕,Steppe Eagle,EN,一级,
235,Aquila heliaca,白肩雕,Eastern Imperial Eagle,VU,一级,
